"sid","fail","est","se","icc","identL","identU","identC","identR","identEL","identER","logitL","logitU","logitC","logitR","logitEL","logitER"
486,0,0.572824499735297,0.0458180243839621,0.0292298839245758,0.467167946038993,0.678481053431598,0.96,0.2826,0.02,0.02,0.465559182655023,0.673385051794532,0.9642,0.2668,0.0158,0.02
487,0,0.573458984274797,0.045831345015525,0.0294102999320448,0.467771713147028,0.679146255402568,0.956,0.2866,0.0196,0.0244,0.466095025678402,0.673966085841382,0.9602,0.2712,0.0154,0.0244
488,0,0.573119075749888,0.045963715932236,0.0295682345202662,0.467126556740799,0.679111594758971,0.955,0.275,0.0234,0.0216,0.465458403874579,0.673914268594178,0.959,0.258,0.0192,0.0218
489,0,0.57324484194492,0.0459526999271923,0.0328261574961752,0.476701801859301,0.669787882030543,0.9584,0.3152,0.0224,0.0192,0.475133301638809,0.665790231888223,0.9626,0.2968,0.018,0.0194
490,0,0.572638390481412,0.046040713606302,0.0325824072452934,0.475910440517506,0.669366340445314,0.9578,0.308,0.0216,0.0206,0.474362050425461,0.665376874244868,0.9612,0.2902,0.0176,0.0212
491,0,0.573234583653572,0.0460366143555079,0.0329043187753288,0.476515245896007,0.669953921411138,0.956,0.3176,0.0262,0.0178,0.474956578737821,0.665950410333155,0.961,0.3018,0.0202,0.0188
492,0,0.573114368522377,0.0460010032632808,0.0327299704889807,0.47646984689335,0.669758890151406,0.9604,0.315,0.0208,0.0188,0.474909846480182,0.665765723175209,0.9656,0.2934,0.0154,0.019
493,0,0.572614791643792,0.0322058948392311,0.0277898464262298,0.504952717350364,0.640276865937213,0.9482,0.5588,0.0258,0.026,0.504003517324969,0.638460578258242,0.9508,0.5484,0.022,0.0272
494,0,0.573092910879441,0.0321309546511985,0.0275748608102124,0.505588280078753,0.640597541680128,0.9472,0.559,0.0294,0.0234,0.504644039095251,0.638789791375514,0.9488,0.55,0.0272,0.024
495,0,0.57301936749415,0.0319729448289559,0.0270836235146832,0.505846703011584,0.640192031976712,0.9446,0.5618,0.0302,0.0252,0.504902950310568,0.638397808438105,0.9468,0.5514,0.0274,0.0258
496,0,0.57249780494554,0.0322602780902528,0.0278791235064974,0.504721475681423,0.640274134209658,0.9456,0.547,0.0286,0.0258,0.503776540271487,0.638458004191202,0.948,0.5374,0.025,0.027
497,0,0.572846563878059,0.0370997617460806,0.0300747353029717,0.496851146958485,0.648841980797635,0.9506,0.4676,0.0282,0.0212,0.495718979599217,0.646533737514452,0.954,0.455,0.0236,0.0224
498,0,0.573660948843613,0.0371287874030818,0.0304541955444268,0.497606075560942,0.649715822126283,0.957,0.4836,0.0228,0.0202,0.496453160014218,0.647382795456221,0.9588,0.4674,0.0202,0.021
